post_verified,post_type,building_type,squares,nums_bedroom,nums_wc,nums_floor,furniture,price,project_names,streets,wards,districts,type_squares
0,vip-gold,Căn hộ chung cư,60.0,2,2,1,Đầy đủ,7.0,Dự án Flora Novia,Đường Phạm Văn Đồng,Phường Linh Tây,Thủ Đức,40-60
0,vip-normal,Căn hộ chung cư,140.0,3,3,1,Cao cấp,34.0,Dự án The River Thủ Thiêm,Đường Nguyễn Cơ Thạch,Phường An Khánh,2,100+
0,vip-normal,Căn hộ chung cư,87.0,2,2,1,Đầy đủ,19.0,Dự án HaDo Centrosa Garden,Đường 3/2,Phường 12,10,80-100
0,vip-normal,Căn hộ chung cư,61.0,1,1,1,Đầy đủ,16.0,Dự án HaDo Centrosa Garden,Đường 3/2,Phường 12,10,60-80
0,vip-normal,Căn hộ chung cư,56.0,1,1,1,Không nội thất,18.0,Dự án Masteri Millennium,Đường Bến Vân Đồn,Phường 6,4,40-60
0,vip-gold,Căn hộ chung cư,115.0,3,2,1,Đầy đủ,45.0,Dự án Saigon Royal Residence,Đường Bến Vân Đồn,Phường 12,4,100+
0,vip-gold,Căn hộ chung cư,60.0,2,1,1,Đầy đủ,12.0,Dự án Terra Royal,Đường Nam Kỳ Khởi Nghĩa,Phường Võ Thị Sáu,3,40-60
0,vip-gold,Căn hộ chung cư,75.0,2,2,1,Đầy đủ,14.0,Dự án Masteri Thảo Điền,Đường Xa Lộ Hà Nội,Phường Thảo Điền,2,60-80
0,vip-normal,Căn hộ chung cư,103.0,2,2,1,Đầy đủ,23.0,Dự án The Vista An Phú,Đường Xa Lộ Hà Nội,Phường An Phú,2,100+
0,vip-gold,Căn hộ chung cư,50.0,1,1,1,Đầy đủ,10.0,Dự án Lexington Residence,Đường Mai Chí Thọ,Phường An Phú,2,40-60
0,vip-gold,Căn hộ chung cư,86.0,2,2,1,Đầy đủ,18.0,Dự án HaDo Centrosa Garden,200 Đường 3/2,Phường 12,10,80-100
0,vip-silver,Căn hộ chung cư,86.0,2,2,1,Đầy đủ,19.0,Dự án HaDo Centrosa Garden,Đường 3/2,Phường 12,10,80-100
0,vip-silver,Căn hộ chung cư,74.0,2,2,1,Không nội thất,10.0,Dự án Sky Garden 3,Đường Phạm Văn Nghị,Phường Tân Phong,7,60-80
0,vip-silver,Căn hộ chung cư,66.0,2,2,1,Có tiện nghi cơ bản,8.0,Dự án Chung cư Huỳnh Tấn Phát,Đường Huỳnh Tấn Phát,Phường Phú Thuận,7,60-80
0,vip-silver,Căn hộ chung cư,106.0,3,2,1,Không nội thất,28.0,Dự án Vinhomes Central Park,Đường Điện Biên Phủ,Phường 22,Bình Thạnh,100+
0,vip-silver,Căn hộ chung cư,103.0,3,2,1,Cao cấp,20.0,Dự án New City Thủ Thiêm,Đường Mai Chí Thọ,Phường Bình Khánh,2,100+
0,vip-silver,Căn hộ chung cư,61.0,2,2,1,Đầy đủ,15.0,Dự án New City Thủ Thiêm,Đường Mai Chí Thọ,Phường Bình Khánh,2,60-80
0,vip-silver,Căn hộ chung cư,90.0,2,2,1,Có tiện nghi cơ bản,12.0,Dự án Constrexim Copac Square,Đường Tôn Đản,Phường 13,4,80-100
0,vip-silver,Căn hộ chung cư,53.0,1,1,1,Đầy đủ,11.0,Dự án Q7 Saigon Riverside,Đường Đào Trí,Phường Phú Thuận,7,40-60
0,vip-silver,Căn hộ chung cư,64.0,2,1,1,Cơ bản,8.0,Dự án Lavita Garden,Đường 3,Phường Trường Thọ,Thủ Đức,60-80
0,vip-silver,Căn hộ chung cư,68.0,2,2,1,Đầy đủ,7.0,Dự án Lavita Garden,Đường 3,Phường Trường Thọ,Thủ Đức,60-80
0,vip-silver,Căn hộ chung cư,68.0,2,2,1,Đầy đủ,6.0,Dự án Lavita Garden,Đường 3,Phường Trường Thọ,Thủ Đức,60-80
0,vip-silver,Căn hộ chung cư,40.0,1,1,1,Đầy đủ,80.0,Không thuộc dự án,Đường Nguyễn Trọng Lội,Phường 4,Tân Bình,20-40
0,vip-silver,Căn hộ chung cư,172.0,4,4,1,Đầy đủ,67.0,Dự án The Vista An Phú,Đường Xa Lộ Hà Nội,Phường An Phú,2,100+
0,vip-silver,Căn hộ chung cư,79.0,2,2,1,Đầy đủ,9.5,Dự án Akari City Nam Long,Đường Võ Văn Kiệt,Phường An Lạc,Bình Tân,60-80
0,vip-silver,Căn hộ chung cư,90.0,2,2,1,Cơ bản,7.0,Dự án The Era Town,Đường Nguyễn Lương Bằng,Phường Phú Mỹ,7,80-100
0,vip-silver,Căn hộ chung cư,68.0,2,2,1,Đầy đủ,8.0,Dự án Lavita Garden,Đường 3,Phường Trường Thọ,Thủ Đức,60-80
0,vip-silver,Căn hộ chung cư,55.0,2,1,1,Đầy đủ,10.5,Dự án D’Lusso,Đường Nguyễn Thị Định,Phường An Phú,2,40-60
0,vip-silver,Căn hộ chung cư,50.0,1,1,1,Đầy đủ,21.0,Dự án The Metropole,Đường Trần Não,Phường An Khánh,2,40-60
0,vip-silver,Căn hộ chung cư,56.0,2,1,1,Đầy đủ,8.5,Dự án Akari City Nam Long,Đường Võ Văn Kiệt,Phường An Lạc,Bình Tân,40-60
0,vip-silver,Căn hộ chung cư,84.0,2,2,1,Đầy đủ,9.0,Dự án Oriental Plaza,Đường Âu Cơ,Phường Tân Thành,Tân Phú,80-100
0,vip-silver,Căn hộ chung cư,30.0,1,1,1,Đầy đủ,4.4,Không thuộc dự án,Đường Trường Chinh,Phường Tân Thới Nhất,12,20-40
0,vip-silver,Căn hộ chung cư,68.5,2,2,1,Đầy đủ,10.0,Dự án D’Lusso,Đường Nguyễn Thị Định,Phường An Phú,2,60-80
